Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Oct 11, 2018",105.91,105.35,108.93,104.2,63.90M
"Oct 10, 2018",106.16,111.24,111.5,105.79,61.38M
"Oct 09, 2018",112.26,111.14,113.08,110.8,26.20M
"Oct 08, 2018",110.85,111.66,112.03,109.34,29.64M
"Oct 05, 2018",112.13,112.63,113.17,110.64,29.07M
"Oct 04, 2018",112.79,114.61,114.76,111.63,34.82M
"Oct 03, 2018",115.17,115.42,116.18,114.93,16.65M
"Oct 02, 2018",115.15,115.3,115.84,114.44,20.79M
"Oct 01, 2018",115.61,114.75,115.68,114.73,18.88M
"Sep 28, 2018",114.37,114.19,114.57,113.68,21.65M
"Sep 27, 2018",114.41,114.78,114.91,114.2,19.09M
"Sep 26, 2018",113.98,114.47,115.06,113.74,19.35M
"Sep 25, 2018",114.45,114.8,115.1,113.75,22.67M
"Sep 24, 2018",114.67,113.03,114.9,112.22,27.33M
"Sep 21, 2018",114.26,114.0,115.29,113.51,71.23M
"Sep 20, 2018",113.57,112.28,113.8,111.93,23.71M
"Sep 19, 2018",111.7,113.05,113.32,111.03,21.73M
"Sep 18, 2018",113.21,112.19,113.69,111.72,22.17M
"Sep 17, 2018",112.14,113.69,113.7,111.86,20.74M
"Sep 14, 2018",113.37,113.36,113.73,112.44,19.12M
"Sep 13, 2018",112.91,112.12,113.72,112.12,26.06M
"Sep 12, 2018",111.71,111.43,111.85,110.51,18.89M
"Sep 11, 2018",111.24,108.9,111.59,108.89,24.30M
"Sep 10, 2018",109.38,108.84,109.64,108.36,20.73M
"Sep 07, 2018",108.21,108.23,108.72,107.23,22.50M
"Sep 06, 2018",108.74,108.25,108.99,107.51,23.48M
"Sep 05, 2018",108.49,111.01,111.42,108.1,32.87M
"Sep 04, 2018",111.71,110.85,111.95,110.22,22.63M
"Aug 31, 2018",112.33,111.69,112.78,111.52,23.22M
"Aug 30, 2018",111.95,111.67,112.61,111.44,22.80M
"Aug 29, 2018",112.02,110.45,112.03,110.27,20.82M
"Aug 28, 2018",110.26,109.94,110.5,109.79,19.15M
"Aug 27, 2018",109.6,109.27,109.64,108.51,19.66M
"Aug 24, 2018",108.4,107.67,108.56,107.56,17.23M
"Aug 23, 2018",107.56,107.15,108.18,106.87,18.17M
"Aug 22, 2018",107.06,105.85,107.34,105.78,18.00M
"Aug 21, 2018",105.98,106.92,107.35,105.85,22.88M
"Aug 20, 2018",106.87,107.51,107.9,106.48,17.91M
"Aug 17, 2018",107.58,107.36,107.9,106.69,18.06M
"Aug 16, 2018",107.64,108.3,108.86,107.3,21.38M
"Aug 15, 2018",107.66,108.49,108.98,106.82,29.98M
"Aug 14, 2018",109.56,108.56,109.75,108.04,16.79M
"Aug 13, 2018",108.21,109.24,109.58,108.1,18.47M
"Aug 10, 2018",109.0,109.42,109.69,108.38,18.18M
"Aug 09, 2018",109.67,109.71,110.16,109.6,13.68M
"Aug 08, 2018",109.49,109.33,109.75,108.76,15.49M
"Aug 07, 2018",108.88,108.56,109.1,108.17,16.08M
"Aug 06, 2018",108.13,108.12,108.42,107.56,20.27M
"Aug 03, 2018",108.04,107.8,108.05,106.82,18.66M
"Aug 02, 2018",107.57,105.4,108.09,104.84,26.10M
"Aug 01, 2018",106.28,106.03,106.45,105.42,23.63M
"Jul 31, 2018",106.08,106.49,106.72,105.38,27.66M
"Jul 30, 2018",105.37,107.19,107.53,104.76,34.67M
"Jul 27, 2018",107.68,110.18,110.18,106.14,37.01M
"Jul 26, 2018",109.62,110.74,111.0,109.5,31.37M
"Jul 25, 2018",110.83,107.95,111.15,107.6,30.80M
"Jul 24, 2018",107.66,108.57,108.82,107.26,26.32M
"Jul 23, 2018",107.97,106.3,108.14,106.13,29.71M
"Jul 20, 2018",106.27,108.08,108.2,106.08,56.04M
"Jul 19, 2018",104.4,104.93,105.31,103.89,40.17M
"Jul 18, 2018",105.12,105.94,106.05,104.72,29.49M
"Jul 17, 2018",105.95,104.61,106.5,104.32,25.90M
"Jul 16, 2018",104.91,105.4,105.82,104.52,21.79M
"Jul 13, 2018",105.43,104.37,105.6,104.09,24.65M
"Jul 12, 2018",104.19,102.77,104.41,102.73,24.34M
"Jul 11, 2018",101.98,101.15,102.34,101.1,19.64M
"Jul 10, 2018",102.12,102.0,102.51,101.86,19.29M
