,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
289,2018-08-30,111.95,111.67,112.61,111.44,22800000,8,2018,-0.33828896999910096,Slight or No change
290,2018-08-29,112.02,110.45,112.03,110.27,20820000,8,2018,0.06252791424743442,Slight or No change
291,2018-08-28,110.26,109.94,110.5,109.79,19150000,8,2018,-1.5711480092840513,Negative
292,2018-08-27,109.6,109.27,109.64,108.51,19660000,8,2018,-0.5985851623435567,Slight negative
293,2018-08-24,108.4,107.67,108.56,107.56,17230000,8,2018,-1.0948905109488982,Negative
294,2018-08-23,107.56,107.15,108.18,106.87,18170000,8,2018,-0.7749077490774914,Slight negative
295,2018-08-22,107.06,105.85,107.34,105.78,18000000,8,2018,-0.46485682409818097,Slight or No change
296,2018-08-21,105.98,106.92,107.35,105.85,22880000,8,2018,-1.0087801232953497,Negative
297,2018-08-20,106.87,107.51,107.9,106.48,17910000,8,2018,0.8397810907718517,Slight positive
298,2018-08-17,107.58,107.36,107.9,106.69,18060000,8,2018,0.6643585664826368,Slight positive
299,2018-08-16,107.64,108.3,108.86,107.3,21380000,8,2018,0.0557724484104849,Slight or No change
300,2018-08-15,107.66,108.49,108.98,106.82,29980000,8,2018,0.018580453363048477,Slight or No change
301,2018-08-14,109.56,108.56,109.75,108.04,16790000,8,2018,1.7648151588333771,Positive
302,2018-08-13,108.21,109.24,109.58,108.1,18470000,8,2018,-1.232201533406363,Negative
303,2018-08-10,109.0,109.42,109.69,108.38,18180000,8,2018,0.7300619166435762,Slight positive
304,2018-08-09,109.67,109.71,110.16,109.6,13680000,8,2018,0.6146788990825769,Slight positive
305,2018-08-08,109.49,109.33,109.75,108.76,15490000,8,2018,-0.16412874988602777,Slight or No change
306,2018-08-07,108.88,108.56,109.1,108.17,16079999,8,2018,-0.5571285048862951,Slight negative
307,2018-08-06,108.13,108.12,108.42,107.56,20270000,8,2018,-0.6888317413666467,Slight negative
308,2018-08-03,108.04,107.8,108.05,106.82,18660000,8,2018,-0.08323314528806414,Slight or No change
309,2018-08-02,107.57,105.4,108.09,104.84,26100000,8,2018,-0.4350240651610604,Slight or No change
310,2018-08-01,106.28,106.03,106.45,105.42,23630000,8,2018,-1.19921911313563,Negative
311,2018-07-31,106.08,106.49,106.72,105.38,27660000,7,2018,-0.18818216033120727,Slight or No change
312,2018-07-30,105.37,107.19,107.53,104.76,34670000,7,2018,-0.669306184012064,Slight negative
313,2018-07-27,107.68,110.18,110.18,106.14,37010000,7,2018,2.1922748410363457,Positive
314,2018-07-26,109.62,110.74,111.0,109.5,31370000,7,2018,1.8016344725111377,Positive
315,2018-07-25,110.83,107.95,111.15,107.6,30800000,7,2018,1.1038131727786782,Positive
